tin_id,rate_id,file_id
3540484828451510363,10455019870197694939,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
2779653322893325830,2895673712230076661,10544093348606899452
858346235876679800,10455019870197694939,10544093348606899452
15590367277994367627,14414381833080616827,10544093348606899452
10205216295611986294,14414381833080616827,10544093348606899452
2257571380151478362,10455019870197694939,10544093348606899452
15580017049695221071,10455019870197694939,10544093348606899452
8661248275758687046,1853283535488597262,10544093348606899452
150894740944685762,1853283535488597262,10544093348606899452
11751410249454528805,1853283535488597262,10544093348606899452
12970269421281766922,1853283535488597262,10544093348606899452
15688915927684236333,1853283535488597262,10544093348606899452
8685220735747410301,1853283535488597262,10544093348606899452
7269895917619128672,1853283535488597262,10544093348606899452
14565566672226316155,1853283535488597262,10544093348606899452
1905924693376872631,2895673712230076661,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
1721728965840560086,10455019870197694939,10544093348606899452
9515277343137846399,2895673712230076661,10544093348606899452
9935813505770807104,2895673712230076661,10544093348606899452
17758095472476831274,15231729250800187185,10544093348606899452
12963947404483330792,16930029952536992299,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
15477630398988792521,16930029952536992299,10544093348606899452
15096244575410303915,16930029952536992299,10544093348606899452
6970466483007032081,10455019870197694939,10544093348606899452
17641237018633362344,10455019870197694939,10544093348606899452
14860954959291062516,16930029952536992299,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
13507967689284015580,900130179904999323,10544093348606899452
10672571317156562080,16930029952536992299,10544093348606899452
5477909682866619806,2895673712230076661,10544093348606899452
5289603941144945789,993300283219713615,10544093348606899452
2320102898654497432,993300283219713615,10544093348606899452
1755184348638253057,16930029952536992299,10544093348606899452
150894740944685762,1853283535488597262,10544093348606899452
6060576429400702446,10455019870197694939,10544093348606899452
15868443240158283898,10455019870197694939,10544093348606899452
13166164135947038092,10455019870197694939,10544093348606899452
9292425805914952373,10455019870197694939,10544093348606899452
