npi,tin_id
1780698563,3540484828451510363
1154335925,3540484828451510363
1992719785,3540484828451510363
1588678320,3540484828451510363
1831966050,10672571317156562080
1235132861,2779653322893325830
1962492066,858346235876679800
1164558987,15590367277994367627
1396800256,10205216295611986294
1225136153,2257571380151478362
1164947099,15580017049695221071
1205401577,8661248275758687046
1679775514,150894740944685762
1629720511,11751410249454528805
1720648850,12970269421281766922
1396396750,15688915927684236333
1821268392,8685220735747410301
1275292773,7269895917619128672
1730709601,14565566672226316155
1144382698,1905924693376872631
1831966050,10672571317156562080
1437104759,1721728965840560086
1437539145,9515277343137846399
1073563219,9935813505770807104
1952476335,17758095472476831274
1477570216,12963947404483330792
1831966050,10672571317156562080
1831966050,10672571317156562080
1053782482,15477630398988792521
1245368125,15477630398988792521
1285938274,15096244575410303915
1629306220,15096244575410303915
1982263695,6970466483007032081
1255990966,6970466483007032081
1538727508,6970466483007032081
1851449425,17641237018633362344
1508015074,14860954959291062516
1831966050,10672571317156562080
1346296035,13507967689284015580
1831966050,10672571317156562080
1982965661,5477909682866619806
1295276871,5289603941144945789
1508210030,2320102898654497432
1639330111,1755184348638253057
1831326115,1755184348638253057
1164594511,1755184348638253057
1679775514,150894740944685762
1598537938,6060576429400702446
1124084488,15868443240158283898
1306675053,15868443240158283898
1588831804,13166164135947038092
1841917762,9292425805914952373
1871905166,12393911889835424155
1710656020,16673757855603598340
1205975554,16673757855603598340
1255788725,4239163495294146161
1922754290,7844572120563470718
1417624586,15827889220754405082
1013049386,16917161618484779204
1366521387,14246978189374184846
1275573008,3550923796653118563
1134898364,11129372740981590284
1912518978,3799296738207366100
1083950414,3799296738207366100
1619642972,3998212843724832939
1376692657,422048610086817107
1629536206,3903889550010033616
1760569545,12599922088271719494
1023196946,2570072774541038039
1104255215,7817445541082288795
1053553289,17278879169855309482
1144894213,17278879169855309482
1801106281,17278879169855309482
1134316771,17278879169855309482
1346377686,17278879169855309482
1528195864,17278879169855309482
1457488744,17278879169855309482
1174571756,17278879169855309482
1093119828,17278879169855309482
1710207865,17278879169855309482
1437286770,17278879169855309482
1619598901,17278879169855309482
1255468591,17278879169855309482
1871575498,17278879169855309482
1275601049,13429822801055111155
1043480973,11087862636310569169
1770594061,3243120873809639234
1831137058,10119622094068371385
1588865398,16305780340905128114
1851498364,13627916901528953838
1699027862,14434031364155348753
1609950476,1039629848328437796
1245261833,5798951144930436013
1417129354,10565378717250837769
1033284005,16489520113860230766
1053301788,8548309286844331267
1447334073,11979683553065763226
1396800256,10205216295611986294
1356379382,16883318373090456088
1831966050,10672571317156562080
1306345723,4000655464742904175
1831966050,10672571317156562080
1104106954,7464369729100719299
1538467196,13206403836704393077
1043988546,4194523952024427166
1275543175,7816679430027611956
1992422802,9292425805914952373
1578210217,10726574964850585609
1053799957,3982358964890998994
1114128667,14492736485840235308
